report_id,file,rVSM_similarity,collab_filter,classname_similarity,bug_recency,bug_frequency,match
1,tests\bugs175\pr423257\AspectX.java,0.0,0.0,0.0,0,0,1
1,tests\src\test\java\org\aspectj\systemtest\ajc150\GenericsTests.java,0.14457572341347863,0.0,0.0,0,0,0
1,weaver\src\main\java\org\aspectj\weaver\tools\cache\CachedClassEntry.java,0.0577659088540549,0.0,0.0,0,0,0
1,runtime\src\main\java\org\aspectj\lang\reflect\AjTypeSystem.java,0.055762386612385285,0.0,0.0,0,0,0
1,tests\bugs\CircularPrecedence.java,0.0459895517408193,0.0,0.0,0,0,0
1,docs\sandbox\ubc-design-patterns\src\ca\ubc\cs\spl\aspectPatterns\examples\proxy\aspectj\OutputImplementation.java,0.037694218339503156,0.0,0.0,0,0,0
1,tests\new\WithinInners.java,0.03405577965491699,0.0,0.0,0,0,0
1,tests\java5\ataspectj\ataspectj\Bug104212.java,0.027471506288572096,0.0,0.0,0,0,0
1,tests\pureJava\InterfaceAndClass.java,0.025782807197223413,0.0,0.0,0,0,0
1,tests\bugs\CatchSig.java,0.024195328323318593,0.0,0.0,0,0,0
1,org.aspectj.matcher\src\test\java\org\aspectj\weaver\patterns\NamePatternTestCase.java,0.021697673420177758,0.0,0.0,0,0,0
1,tests\multiIncremental\pr242797_1\base\src\bug\EqualityUtils.java,0.01968047485328717,0.0,0.0,0,0,0
1,runtime\src\main\java\org\aspectj\lang\reflect\TypePattern.java,0.01918637714469026,0.0,0.0,0,0,0
1,org.aspectj.ajdt.core\src\main\java\org\aspectj\org\eclipse\jdt\core\dom\AbstractTypePattern.java,0.01902976700345284,0.0,0.0,0,0,0
1,tests\bugs152\pr136026\CflowOrderOriginal.java,0.014271942994947865,0.0,0.0,0,0,0
1,tests\features152\synchronization\Basic3.java,0.012590566234376302,0.0,0.0,0,0,0
1,weaver\src\test\java\org\aspectj\weaver\bcel\ArgsWeaveTestCase.java,0.012205720161837437,0.0,0.0,0,0,0
1,ajde.core\src\test\java\org\aspectj\ajde\core\tests\BuildCancellingTest.java,0.011820894249372427,0.0,0.0,0,0,0
1,tests\src\test\java\org\aspectj\systemtest\ajc196\SanityTestsJava14.java,0.01122331746055907,0.0,0.0,0,0,0
1,docs\sandbox\ubc-design-patterns\src\ca\ubc\cs\spl\aspectPatterns\examples\facade\aspectj\Decoration.java,0.010335548796088414,0.0,0.0,0,0,0
1,tests\new\StaticTypeInIf.java,0.008786490945115744,0.0,0.0,0,0,0
