report_id,file,rVSM_similarity,collab_filter,classname_similarity,bug_recency,bug_frequency,match
1,java\org\apache\jasper\compiler\PageInfo.java,0.04779928125249275,0.10291089923258384,0.0,0.0625,4,1
1,java\org\apache\jasper\compiler\Validator.java,0.08674365047532205,0.16172375983778423,0.0,0.3333333333333333,10,1
2,java\org\apache\jasper\compiler\ELParser.java,0.0014224119258010742,0.09257941378147565,0.0,0.009259259259259259,1,1
2,test\org\apache\jasper\compiler\TestELParser.java,0.010313949105517004,0.0,0.0,0,0,1
3,java\org\apache\catalina\loader\WebappClassLoader.java,0.0,0.06045860585084642,0.0,0.25,27,1
4,java\org\apache\tomcat\websocket\server\UpgradeUtil.java,0.007073442726005632,0.0,0.0,0,0,1
5,java\org\apache\jasper\runtime\PageContextImpl.java,0.07286467006431872,0.038357433882221445,0.0,0.3333333333333333,5,1
5,test\org\apache\jasper\runtime\TestPageContextImpl.java,0.0425183035384641,0.06360120575671213,0.0,0.05263157894736842,1,1
7,java\org\apache\jasper\compiler\TldCache.java,0.1274691444942164,0.0,0.1236067605849674,0,0,1
8,java\org\apache\catalina\valves\AbstractAccessLogValve.java,0.039577663672135714,0.0,0.03345447013993212,0,0,1
8,java\org\apache\catalina\valves\AccessLogValve.java,0.015466353231912911,0.07488657133382354,0.25969799324016246,0.14285714285714285,16,1
9,java\org\apache\coyote\AbstractProtocol.java,0.053741077547039696,0.048237369024575934,0.0,0.0625,3,1
9,test\org\apache\coyote\http11\upgrade\TestUpgrade.java,0.027285255098361206,0.0,0.0,0,0,1
11,java\org\apache\tomcat\util\descriptor\XmlErrorHandler.java,0.07066185729512638,0.0,0.21951095080860833,0,0,1
12,java\org\apache\catalina\loader\WebappClassLoader.java,0.02822908619221245,0.020828034787028413,0.0,1.0,28,1
13,test\org\apache\catalina\authenticator\TestSSOnonLoginAndBasicAuthenticator.java,0.001788364449045339,0.0,0.1273595297947935,0,0,1
13,test\org\apache\catalina\startup\TesterServletEncodeUrl.java,0.0,0.0,0.0,0,0,1
14,java\org\apache\catalina\core\ContainerBase.java,0.018587943806521425,0.04651356058114157,0.0,0.05,9,1
14,java\org\apache\catalina\ha\deploy\FarmWarDeployer.java,0.09113293674409419,0.14451436526453104,0.0,0.02702702702702703,6,1
14,java\org\apache\catalina\manager\HTMLManagerServlet.java,0.016791059452299292,0.08350818956097163,0.0,0.16666666666666666,19,1
14,java\org\apache\catalina\mbeans\MBeanUtils.java,0.0,0.010825391198393182,0.0,0.02,2,1
14,java\org\apache\catalina\startup\FailedContext.java,0.0013675052677015727,0.03523164165337639,0.0,0.07692307692307693,1,1
14,java\org\apache\catalina\startup\HostConfig.java,0.09426716513112912,0.12542694239829172,0.0,0.041666666666666664,15,1
14,java\org\apache\catalina\storeconfig\StandardContextSF.java,0.00731940320969161,0.0,0.0,0,0,1
14,java\org\apache\catalina\util\ContextName.java,0.020090823782257555,0.15850505858089142,0.0,0.5,1,1
14,test\org\apache\catalina\util\TestContextName.java,0.0,0.15850505858089142,0.0,0.5,1,1
15,java\org\apache\catalina\util\ContextName.java,0.021866652890329345,0.0,0.0,0,0,1
15,test\org\apache\catalina\util\TestContextName.java,0.0056744695722473855,0.0,0.0,0,0,1
16,java\org\apache\coyote\Response.java,0.03601054019432419,0.04548041254429372,0.0,0.14285714285714285,2,1
17,java\org\apache\jasper\servlet\TldScanner.java,0.09078673162925588,0.0,0.0,0,0,1
18,java\org\apache\jasper\compiler\JspRuntimeContext.java,0.12090208615868916,0.04799612516883678,0.0,0.02,4,1
19,java\org\apache\catalina\filters\RemoteIpFilter.java,0.05655539506521606,0.016363748613050705,0.0,0.09090909090909091,6,1
19,java\org\apache\catalina\valves\RemoteIpValve.java,0.07180258164891799,0.023953404923599816,0.0,0.2,7,1
20,java\org\apache\catalina\startup\ContextConfig.java,0.04845431591033856,0.0905842576743168,0.0,0.25,42,1
20,java\org\apache\jasper\servlet\JspCServletContext.java,0.022574265527293563,0.040935780142340186,0.0,0.2,3,1
20,java\org\apache\tomcat\util\descriptor\web\FragmentJarScannerCallback.java,0.08685292451552554,0.0,0.0,0,0,1
